Naam;Eiwit (g) per 100 gram;Energie (kcal) per 100 gram;1 VSE;Hoeveelheid gram/ml;Eiwit (g) per VSE;Energie (kcal) per VSE;Kleurgroep;Productgroep
Broodje bapao vlees;8,9;245;1 stuk;120 gram;10,7;294;rood;Snacks
Pesto (groen);10,2;434;1 eetlepel;15 gram;1,5;65;rood;Vetten, oliën en hartige sauzen
Pesto (rood);5;368;1 eetlepel;15 gram;0,8;55;rood;Vetten, oliën en hartige sauzen
Huzarensalade;2,1;149;1 bolletje;50 gram;1,1;75;oranje;Salades
Selderijsalade;1;206;1 eetlepel;20 gram;0,2;41;oranje;Salades
Eiersalade;7,3;255;1 eetlepel;20 gram;1,5;51;oranje;Salades
Komkommersalade;0,8;238;1 eetlepel;20 gram;0,2;48;groen;Salades
Muisjes (roze/blauwe/gestampte);2;402;1 voor 1 snee;15 gram;0,3;60;oranje;Broodbeleg, zoet
Vruchtenhagelslag;0,1;393;1 voor 1 snee;15 gram;0;59;groen;Broodbeleg, zoet
Artisjokharten (blik/pot);2,1;27;100 gram;100 gram;2,1;27;oranje;Groenten en peulvruchten
Meloen, suiker-/ cantaloupe-;0,9;30;1 schijf;120 gram;1;36;groen;Fruit
Jam (alle soorten);0,3;248;1 voor 1 snee;15 gram;0;37;groen;Broodbeleg, zoet
Schuimpje;2,1;366;2 stuks;10 gram;0,2;37;oranje;Snoep, suiker, zoete sauzen
Sorbetijs;0,2;126;1 bolletje;50 gram;0,1;63;groen;Melkproducten- Ijs
Walnoten;15,9;706;1 handje;25 gram;4;177;rood;Noten, zaden en chips
Pistachenoten;23,8;592;1 handje;25 gram;6;148;rood;Noten, zaden en chips
Paranoten;14,3;687;1 handje;25 gram;3,6;172;rood;Noten, zaden en chips
Hazelnoten;16,4;670;1 handje;25 gram;4,1;168;rood;Noten, zaden en chips
Gemengde noten;21,4;640;1 handje;25 gram;5,4;160;rood;Noten, zaden en chips
Cashewnoten;21,2;615;1 handje;25 gram;5,3;154;rood;Noten, zaden en chips
Borrelnoten;13,2;532;1 handje;25 gram;3,3;133;rood;Noten, zaden en chips
Amandelen zonder vliesje;21,7;631;1 handje;25 gram;5,4;158;rood;Noten, zaden en chips
Pinda's (gemiddeld);25;623;1 eetlepel;20 gram;5;125;rood;Noten, zaden en chips
Pinda's (dry roasted);24;577;1 handje;25 gram;6;144;rood;Noten, zaden en chips
Tapenade van olijven;1,8;324;1 eetlepel;15 gram;0,3;49;oranje;Broodbeleg, hartig
Tapenade van tomaten;3,1;291;1 eetlepel;15 gram;0,5;44;oranje;Broodbeleg, hartig
Aioli;1,5;726;1 eetlepel;15 gram;0,2;109;oranje;Vetten, oliën en hartige sauzen
Kiwi (gem);1;63;1 stuk;75 gram;0,8;47;groen;Fruit
Guacamole;1,7;153;1 sauslepel;25 gram;0,4;38;oranje;Vetten, oliën en hartige sauzen
Tzatziki;4;156;1 sauslepel;25 gram;1;39;oranje;Vetten, oliën en hartige sauzen
Oestersaus;1,5;105;1 eetlepel;15 gram;0,2;16;oranje;Vetten, oliën en hartige sauzen
Linzen groen/ bruin (gekookt);8,8;99;2 opscheplepels;100 gram;8,8;99;rood;Groenten en peulvruchten
Peulvruchtensoep z vlees m groente;3,3;58;1 kop;250 gram;8,3;145;rood;Soepen
Erwtensoep met vlees;4,9;99;1 kop;250 gram;12,3;248;rood;Soepen
Kapucijners (blik/glas);7,1;108;2 opscheplepels;100 gram;7,1;108;rood;Groenten en peulvruchten
Kapucijners jonge (blik/glas);5,7;93;2 opscheplepels;100 gram;5,7;93;rood;Groenten en peulvruchten
Vleessalade (borrel);5;286;1 eetlepel;20 gram;1;57;rood;Salades
Postelein (gekookt);1;13;2 opscheplepels;100 gram;1;13;oranje;Groenten en peulvruchten
Raapstelen (gekookt);2;17;2 opscheplepels;100 gram;2;17;oranje;Groenten en peulvruchten
Sla, krop- (gekookt);2;22;2 opscheplepels;100 gram;2;22;oranje;Groenten en peulvruchten
Ui (rauw);1,3;37;1 stuk;100 gram;1,3;37;groen;Groenten en peulvruchten
Veldsla (rauw);2,6;18;1 schaaltje;35 gram;0,9;6;groen;Groenten en peulvruchten
Kwark, halfvolle;7,5;77;1 schaaltje;150 gram;11,3;116;rood;Melkproducten- Nagerechten
Toffee;0,6;401;2 stuks;10 gram;0,1;40;groen;Snoep, suiker, zoete sauzen
Tjap tjoi zonder rijst;3,9;61;2 opscheplepels;100 gram;3,9;61;rood;Samengestelde gerechten
Spekkie;4,1;334;2 stuks;10 gram;0,4;33;oranje;Snoep, suiker, zoete sauzen
Pannenkoekenmeel;10,6;322;100 gram;100 gram;10,6;322;rood;Graanproducten, pappen en bindmiddelen
Koolraap (rauw);0,7;30;100 gram;100 gram;0,7;30;oranje;Groenten en peulvruchten
